Provincia	Comune	Codice Istat	Assegnate	Da assegnare	Totale
Belluno	Agordo	25001	0	2	2
Belluno	Belluno	25006	16	1	17
Belluno	Cortina d’Ampezzo	25016	15	0	15
Belluno	Feltre	25021	4	2	6
Belluno	Pedavena	25036	3	0	3
Belluno	Pieve di Cadore	25039	0	2	2
Belluno	Selva di Cadore	25054	0	2	2
Belluno	Valle di Cadore	25063	0	2	2
Padova	Abano Terme	28001	14	0	14
Padova	Montegrotto Terme	28057	10	0	10
Padova	Padova	28060	150	0	150
Padova	Selvazzano Dentro	28086	2	0	2
Rovigo	Rovigo	29041	19	0	19
Treviso	Castelfranco Veneto	26012	6	1	7
Treviso	Conegliano	26021	12	0	12
Treviso	Mogliano Veneto	26043	3	3	6
Treviso	Montebelluna	26046	5	1	6
Treviso	Treviso	26086	22	0	22
Treviso	Vittorio Veneto	26092	2	4	6
Venezia	Caorle	27005	2	0	2
Venezia	Chioggia	27008	8	2	10
Venezia	Dolo	27012	0	4	4
Venezia	Jesolo	27019	12	0	12
Venezia	Mirano	27024	2	1	3
Venezia	Portogruaro	27029	6	2	8
Venezia	San Donà di Piave	27033	10	3	13
Venezia	Stra	27039	1	0	1
Venezia	Venezia	27042	92	0	92
Vicenza	Arzignano	24008	1	0	1
Vicenza	Asiago	24009	2	1	3
Vicenza	Bassano del Grappa	24012	11	0	11
Vicenza	Cassola	24026	2	0	2
Vicenza	Cornedo Vicentino	24034	0	1	1
Vicenza	Malo	24055	0	1	1
Vicenza	Montecchio Maggiore	24061	0	2	2
Vicenza	Recoaro Terme	24084	1	2	3
Vicenza	Rosà	24087	0	1	1
Vicenza	Sarcedo	24097	0	1	1
Vicenza	Schio	24100	0	3	3
Vicenza	Valdagno	24111	0	1	1
Vicenza	Vicenza	24116	40	0	40
Vicenza	Villaverla	24118	0	1	1
Verona	Bardolino	23006	3	0	3
Verona	Bussolengo	23015	3	0	3
Verona	Garda	23036	5	0	5
Verona	Legnago	23044	1	0	1
Verona	Negrar di Valpolicella	23052	1	1	2
Verona	Pescantina	23058	0	3	3
Verona	Peschiera del Garda	23059	8	0	8
Verona	San Giovanni Lupatoto	23071	2	0	2
Verona	San Martino Buon Albergo	23073	2	0	2
Verona	San Pietro in Cariano	23076	1	1	2
Verona	Sommacampagna	23082	4	0	4
Verona	Verona	23091	155	0	155
	Villafranca di Verona	23096	11	2	13
