Provincia	Comune	Codice Istat	Licenze Ncc assegnate	Licenze Ncc attive	Licenze taxi
Chieti	Altino	69001	7	3	0
Chieti	Archi	69002	0	0	0
Chieti	Ari	69003	0	0	0
Chieti	Arielli	69004	0	0	0
Chieti	Atessa	69005	10	7	0
Chieti	Bomba	69006	0	0	0
Chieti	Borrello	69007	0	0	0
Chieti	Bucchianico	69008	4	1	0
Chieti	Canosa Sannita	69010	0	0	0
Chieti	Carpineto Sinello	69011	4	3	0
Chieti	Carunchio	69012	1	1	0
Chieti	Casacanditella	69013	0	0	0
Chieti	Casalanguida	69014	3	3	0
Chieti	Casalbordino	69015	5	2	0
Chieti	Casoli	69017	0	0	0
Chieti	Casalincontrada	69016	3	1	0
Chieti	Castel Frentano	69018	2	2	0
Chieti	Castelguidone	69019	0	0	0
Chieti	Castiglione Messer Marino	69020	10	5	0
Chieti	Celenza Sul Trigno	69021	2	2	0
Chieti	Chieti	69022	40	37	10
Chieti	Civitaluparella	69023	0	0	0
Chieti	Civitella Messer Raimondo	69024	0	0	0
Chieti	Colledimacine	69025	1	0	0
Chieti	Colledimezzo	69026	1	1	0
Chieti	Crecchio	69027	0	0	0
Chieti	Cupello	69028	4	4	0
Chieti	Dogliola	69029	0	0	0
Chieti	Fallo	69104	2	1	0
Chieti	Fara Filiorum Petri	69030	0	0	0
Chieti	Fara San Martino	69031	7	4	0
Chieti	Filetto	69032	0	0	0
Chieti	Fossacesia	69033	9	9	0
Chieti	Fraine	69034	0	0	0
Chieti	Francavilla Al Mare	69035	15	0	2
Chieti	Fresagrandinaria	69036	0	0	0
Chieti	Frisa	69037	0	0	0
Chieti	Furci	69038	2	2	0
Chieti	Gamberale	69039	0	0	0
Chieti	Gessopalena	69040	0	0	0
Chieti	Gissi	69041	0	0	0
Chieti	Giuliano Teatino	69042	0	0	0
Chieti	Guardiagrele	69043	7	4	0
Chieti	Guilmi	69044	0	0	0
Chieti	Lama Dei Peligni	69045	3	0	0
Chieti	Lanciano	69046	22	19	1
