Provincia,Comune,Codice Istat,Taxi,Ncc
Genova,Arenzano,10001,4,4
Genova,Busalla,10006,0,8
Genova,Campo Ligure,10008,0,3
Genova,Casella,10012,0,3
Genova,Castiglione Chiavarese,10013,0,1
Genova,Chiavari,10015,15,5
Genova,Cicagna,10016,0,1
Genova,Cogoleto,10017,4,1
Genova,Cogorno,10018,0,4
Genova,Davagna,10021,0,1
Genova,Fontanigorda,10024,0,1
Genova,Genova,10025,578,131
Genova,Lavagna,10028,5,7
Genova,Leivi,10029,0,1
Genova,Lumarzo,10031,0,2
Genova,Mele,10033,0,1
Genova,Moconesi,10036,0,3
Genova,Moneglia,10037,0,1
Genova,Ne,10040,0,1
Genova,Neirone,10041,0,1
Genova,Pieve Ligure,10043,0,1
Genova,Recco,10047,0,6
Genova,Rezzoaglio,10048,1,1
Genova,Ronco Scrivia,10049,0,2
Genova,San Colombano Certenoli,10053,0,3
Genova,Santa Margherita Ligure,10054,13,12
Genova,Santo Stefano D'Aveto,10056,0,3
Genova,Sant'Olcese,10055,0,2
Genova,Savignone,10057,0,2
Genova,Serra Riccò,10058,0,2
Genova,Sestri Levante,10059,8,4
Genova,Tiglieto,10061,0,1
Genova,Torriglia,10062,0,4
Imperia,Airole,8001,0,1
Imperia,Ceriana,8016,0,1
Imperia,Cervo,8017,0,1
Imperia,Diano Arentino,8025,0,1
Imperia,Diano Marina,8027,8,1
Imperia,Dolcedo,8030,0,1
Imperia,Imperia,8031,16,5
Imperia,Lucinasco,8033,0,1
Imperia,Ospedaletti,8039,3,3
Imperia,Perinaldo,8040,0,1
Imperia,Pigna,8043,0,1
Imperia,Pompeiana,8044,0,1
Imperia,Pontedassio,8045,0,1
Imperia,Riva Ligure,8050,0,1
Imperia,San Lorenzo Al Mare,8054,0,1
Imperia,Sanremo,8055,48,12
Imperia,Santo Stefano Al Mare,8056,0,4
Imperia,Taggia,8059,5,1
Imperia,Vallecrosia,8063,2,2
Imperia,Ventimiglia,8065,12,11
La Spezia,Ameglia,11001,0,2
La Spezia,Bolano,11004,0,2
La Spezia,Bonassola,11005,0,1
La Spezia,Borghetto Di Vara,11006,0,2
La Spezia,Brugnato,11007,1,1
La Spezia,Carro,11009,0,2
La Spezia,Castelnuovo Magra,11011,0,2
La Spezia,Follo,11013,0,1
La Spezia,La Spezia,11015,45,35
La Spezia,Levanto,11017,2,4
La Spezia,Monterosso Al Mare,11019,0,3
La Spezia,Pignone,11021,0,1
La Spezia,Riccò Del Golfo Di Spezia,11023,0,2
La Spezia,Riomaggiore,11024,0,2
La Spezia,Santo Stefano Di Magra,11026,1,1
La Spezia,Varese Ligure,11029,0,2
La Spezia,Vezzano Ligure,11031,0,1
Savona,Albisola Superiore,9004,3,2
Savona,Albissola Marina,9003,3,1
Savona,Andora,9006,2,1
Savona,Bergeggi,9010,0,2
Savona,Boissano,9011,0,2
Savona,Borgio Verezzi,9013,0,3
Savona,Cairo Montenotte,9015,0,12
Savona,Calice Ligure,9016,0,4
Savona,Calizzano,9017,0,1
Savona,Carcare,9018,0,6
Savona,Ceriale,9024,1,1
Savona,Dego,9027,0,1
Savona,Finale Ligure,9029,5,4
Savona,Loano,9034,9,5
Savona,Millesimo,9038,0,7
Savona,Murialdo,9040,0,1
Savona,Orco Feglino,9044,0,1
Savona,Quiliano,9052,0,3
Savona,Sassello,9055,0,2
Savona,Savona,9056,25,15
Savona,Spotorno,9057,3,1
Savona,Urbe,9063,0,1
Savona,Varazze,9065,7,3
Savona,Villanova D'Albenga,9068,0,2
