Provincia,Comune,Codice Istat,Ncc,Taxi
Cagliari,Assemini,92003,4,4
Cagliari,Cagliari,92009,65,105
Cagliari,Capoterra,92011,18,1
Cagliari,Decimomannu,92015,5,0
Cagliari,Elmas,92108,4,4
Cagliari,Maracalagonis,92037,4,0
Cagliari,Monserrato,92109,3,0
Cagliari,Pula,92050,24,3
Cagliari,Quartu Sant'Elena,92051,13,8
Cagliari,Quartucciu,92105,7,0
Cagliari,Sarroch,92066,13,0
Cagliari,Selargius,92068,8,0
Cagliari,Sestu,92074,11,0
Cagliari,Settimo San Pietro,92075,2,0
Cagliari,Sinnai,92080,10,0
Cagliari,Uta,92090,1,0
Cagliari,Villa San Pietro,92099,8,0
Nuoro,Aritzo,91001,1,0
Nuoro,Arzana,91002,3,0
Nuoro,Atzara,91003,0,0
Nuoro,Austis,91004,0,0
Nuoro,Bari Sardo,91005,3,0
Nuoro,Baunei,91006,3,0
Nuoro,Belvì,91007,1,0
Nuoro,Birori,91008,2,0
Nuoro,Bitti,91009,1,0
Nuoro,Bolotana,91010,1,0
Nuoro,Borore,91011,1,0
Nuoro,Bortigali,91012,0,0
Nuoro,Cardedu,91103,3,0
Nuoro,Desulo,91016,4,0
Nuoro,Dorgali,91017,10,0
Nuoro,Dualchi,91018,0,0
Nuoro,Elini,91019,0,0
Nuoro,Fonni,91024,1,0
Nuoro,Gadoni,91025,0,0
Nuoro,Gairo,91026,0,0
Nuoro,Galtellì,91027,0,0
Nuoro,Gavoi,91028,6,0
Nuoro,Girasole,91031,2,0
Nuoro,Ilbono,91032,3,0
Nuoro,Irgoli,91033,1,0
Nuoro,Jerzu,91035,2,0
Nuoro,Lanusei,91037,5,0
Nuoro,Lei,91038,0,0
Nuoro,Loceri,91039,1,0
Nuoro,Loculi,91040,1,0
Nuoro,Lodè,91041,3,0
Nuoro,Lodine,91104,0,0
Nuoro,Lotzorai,91042,1,0
Nuoro,Lula,91043,2,0
Nuoro,Macomer,91044,4,0
Nuoro,Mamoiada,91046,2,0
Nuoro,Meana Sardo,91047,1,0
Nuoro,Noragugume,91050,0,0
Nuoro,Nuoro,91051,19,1
Nuoro,Oliena,91055,2,0
Nuoro,Ollolai,91056,0,0
Nuoro,Olzai,91057,3,0
Nuoro,Onanì,91058,0,0
Nuoro,Onifai,91059,0,0
Nuoro,Oniferi,91060,2,0
Nuoro,Orani,91061,2,0
Nuoro,Orgosolo,91062,2,0
Nuoro,Orosei,91063,22,0
Nuoro,Orotelli,91064,3,0
Nuoro,Ortueri,91066,0,0
Nuoro,Orune,91067,0,0
Nuoro,Osidda,91068,0,0
Nuoro,Osini,91069,0,0
Nuoro,Ottana,91070,2,0
Nuoro,Ovodda,91071,0,0
Nuoro,Perdasdefogu,91072,3,0
Nuoro,Posada,91073,3,0
Nuoro,Sarule,91077,2,0
Nuoro,Silanus,91083,0,0
Nuoro,Sindia,91084,0,0
Nuoro,Siniscola,91085,1,0
Nuoro,Sorgono,91086,1,0
Nuoro,Talana,91088,0,0
Nuoro,Tertenia,91089,4,0
Nuoro,Teti,91090,0,0
Nuoro,Tiana,91091,0,0
Nuoro,Tonara,91093,1,0
Nuoro,Torpè,91094,3,0
Nuoro,Tortolì,91095,9,3
Nuoro,Triei,91097,1,0
Nuoro,Ulassai,91098,1,0
Nuoro,Urzulei,91099,0,0
Nuoro,Ussassai,91100,2,0
Nuoro,Villagrande Strisaili,91101,1,0
Oristano,Abbasanta,95001,2,0
Oristano,Aidomaggiore,95002,0,0
Oristano,Albagiara,95003,0,0
Oristano,Ales,95004,2,0
Oristano,Allai,95005,0,0
Oristano,Arborea,95006,2,0
Oristano,Ardauli,95007,1,0
Oristano,Assolo,95008,0,0
Oristano,Asuni,95009,0,0
Oristano,Baradili,95010,1,0
Oristano,Baratili San Pietro,95011,1,0
Oristano,Baressa,95012,0,0
Oristano,Bauladu,95013,1,0
